period,segment,trigger,route_count,share_of_segment_percent,note
2026-06,all,address_mismatch,3325,41.2,bureau address does not match the address supplied - synthetic
2026-06,all,document_image_quality,1695,21.0,image rejected by the document reader - synthetic
2026-06,all,thin_credit_file,1412,17.5,insufficient bureau history to match the applicant - synthetic
2026-06,all,name_or_dob_mismatch,847,10.5,synthetic
2026-06,all,watchlist_possible_match,484,6.0,synthetic
2026-06,all,other,307,3.8,synthetic
2026-06,applicants_18_24,thin_credit_file,774,47.8,synthetic - segment overlaps other segments and is not a partition
2026-06,applicants_18_24,document_image_quality,370,22.8,synthetic
2026-06,applicants_18_24,address_mismatch,298,18.4,synthetic
2026-06,applicants_18_24,name_or_dob_mismatch,110,6.8,synthetic
2026-06,applicants_18_24,watchlist_possible_match,38,2.3,synthetic
2026-06,applicants_18_24,other,30,1.9,synthetic
2026-06,moved_within_12_months,address_mismatch,1845,63.5,synthetic - 1845 of the 3325 address_mismatch routes overall
2026-06,moved_within_12_months,document_image_quality,462,15.9,synthetic
2026-06,moved_within_12_months,thin_credit_file,299,10.3,synthetic
2026-06,moved_within_12_months,name_or_dob_mismatch,212,7.3,synthetic
2026-06,moved_within_12_months,watchlist_possible_match,49,1.7,synthetic
2026-06,moved_within_12_months,other,38,1.3,synthetic
