period,metric,value,unit,segment,note
2025-07,verification_abandonment_rate,38.2,percent,all,synthetic
2025-08,verification_abandonment_rate,37.6,percent,all,synthetic
2025-09,verification_abandonment_rate,38.9,percent,all,synthetic
2025-10,verification_abandonment_rate,39.4,percent,all,synthetic
2025-11,verification_abandonment_rate,40.1,percent,all,synthetic
2025-12,verification_abandonment_rate,41.7,percent,all,synthetic
2026-01,verification_abandonment_rate,40.8,percent,all,synthetic
2026-02,verification_abandonment_rate,41.9,percent,all,synthetic
2026-03,verification_abandonment_rate,42.6,percent,all,synthetic
2026-04,verification_abandonment_rate,43.1,percent,all,synthetic
2026-05,verification_abandonment_rate,43.8,percent,all,synthetic
2026-06,verification_abandonment_rate,44.2,percent,all,synthetic
2026-06,verification_abandonment_rate,68.0,percent,routed_to_manual_review,synthetic
2026-06,verification_abandonment_rate,52.0,percent,applicants_18_24,synthetic
2026-06,verification_abandonment_rate,42.3,percent,applicants_25_plus,synthetic
2025-07,application_starts,33450,count,all,synthetic
2026-06,application_starts,41900,count,all,synthetic
2026-06,application_starts,8140,count,applicants_18_24,synthetic
2026-06,application_starts,33760,count,applicants_25_plus,synthetic
2026-06,documents_submitted,28869,count,all,synthetic
2026-06,routed_to_manual_review,8070,count,all,synthetic
2026-06,abandoned_at_document_capture,13031,count,all,synthetic
2026-06,abandoned_in_manual_review_queue,5489,count,all,synthetic
2026-06,accounts_opened,22690,count,all,synthetic
2026-06,accounts_opened,3667,count,applicants_18_24,synthetic
2026-06,applications_declined,690,count,all,synthetic
2026-06,document_capture_dropoff_rate,31.1,percent,all,synthetic
2026-06,manual_review_share_of_submitters,28.0,percent,all,synthetic
2026-06,share_decisioned_under_10_minutes,72.0,percent,document_submitters,synthetic
2026-06,share_decisioned_over_96_hours,17.6,percent,document_submitters,synthetic
2026-06,mean_time_to_verify_hours,26.0,hours,all,synthetic
2026-06,mean_time_to_verify_hours,0.1,hours,auto_decisioned,synthetic
2026-06,mean_time_to_verify_hours,92.6,hours,routed_to_manual_review,synthetic
2026-06,median_time_to_verify_minutes,6,minutes,all,synthetic
2026-06,p90_time_to_verify_hours,104,hours,all,synthetic
2025-07,support_contacts_per_1k_applications,61.5,count,all,synthetic
2026-06,support_contacts_per_1k_applications,86.3,count,all,synthetic
